###>>>>>>>>>>>>>>>>>>>> START ./from-testssl.tsv
[-] [0x00] => 0x00,0x00 : 
[+] [0xc078] => 0xC0,0x78 : ECDH-RSA-CAMELLIA128-SHA256
[+] [0xc079] => 0xC0,0x79 : ECDH-RSA-CAMELLIA256-SHA384
[-] [0xc07A] => 0xC0,0x7A : 
[-] [0xc07B] => 0xC0,0x7B : 
[-] [0xc07C] => 0xC0,0x7C : 
[-] [0xc07D] => 0xC0,0x7D : 
[-] [0xc07E] => 0xC0,0x7E : 
[-] [0xc07F] => 0xC0,0x7F : 
[-] [0xc080] => 0xC0,0x80 : 
[-] [0xc081] => 0xC0,0x81 : 
[-] [0xc082] => 0xC0,0x82 : 
[-] [0xc083] => 0xC0,0x83 : 
[-] [0xc084] => 0xC0,0x84 : 
[-] [0xc085] => 0xC0,0x85 : 
[-] [0xc086] => 0xC0,0x86 : 
[-] [0xc087] => 0xC0,0x87 : 
[-] [0xc088] => 0xC0,0x88 : 
[-] [0xc089] => 0xC0,0x89 : 
[-] [0xc08A] => 0xC0,0x8A : 
[-] [0xc08B] => 0xC0,0x8B : 
[-] [0xc08C] => 0xC0,0x8C : 
[-] [0xc08D] => 0xC0,0x8D : 
[-] [0xc08E] => 0xC0,0x8E : 
[-] [0xc08F] => 0xC0,0x8F : 
[-] [0xc090] => 0xC0,0x90 : 
[-] [0xc091] => 0xC0,0x91 : 
[-] [0xc092] => 0xC0,0x92 : 
[-] [0xc093] => 0xC0,0x93 : 
[+] [0xc094] => 0xC0,0x94 : PSK-CAMELLIA128-SHA256
[+] [0xc095] => 0xC0,0x95 : PSK-CAMELLIA256-SHA384
[+] [0xc096] => 0xC0,0x96 : DHE-PSK-CAMELLIA128-SHA256
[+] [0xc097] => 0xC0,0x97 : DHE-PSK-CAMELLIA256-SHA384
[+] [0xc098] => 0xC0,0x98 : RSA-PSK-CAMELLIA128-SHA256
[+] [0xc099] => 0xC0,0x99 : RSA-PSK-CAMELLIA256-SHA384
[+] [0xc09A] => 0xC0,0x9A : ECDHE-PSK-CAMELLIA128-SHA256
[+] [0xc09B] => 0xC0,0x9B : ECDHE-PSK-CAMELLIA256-SHA384
[+] [0xc09c] => 0xC0,0x9C : AES128-CCM
[+] [0xc09d] => 0xC0,0x9D : AES256-CCM
[+] [0xc09e] => 0xC0,0x9E : DHE-RSA-AES128-CCM
[+] [0xc09f] => 0xC0,0x9F : DHE-RSA-AES256-CCM
[+] [0xc0a0] => 0xC0,0xA0 : AES128-CCM8
[+] [0xc0a1] => 0xC0,0xA1 : AES256-CCM8
[+] [0xc0a2] => 0xC0,0xA2 : DHE-RSA-AES128-CCM8
[+] [0xc0a3] => 0xC0,0xA3 : DHE-RSA-AES256-CCM8
[+] [0xc0a4] => 0xC0,0xA4 : PSK-AES128-CCM
[+] [0xc0a5] => 0xC0,0xA5 : PSK-AES256-CCM
[+] [0xc0a6] => 0xC0,0xA6 : DHE-PSK-AES128-CCM
[+] [0xc0a7] => 0xC0,0xA7 : DHE-PSK-AES256-CCM
[+] [0xc0a8] => 0xC0,0xA8 : PSK-AES128-CCM8
[+] [0xc0a9] => 0xC0,0xA9 : PSK-AES256-CCM8
[+] [0xc0aa] => 0xC0,0xAA : DHE-PSK-AES128-CCM8
[+] [0xc0ab] => 0xC0,0xAB : DHE-PSK-AES256-CCM8
